metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1767699572,1.000000,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_duration,1767699572,4.884794,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_blocked,1767699572,4.410480,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_connecting,1767699572,4.239057,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_tls_handshaking,1767699572,0.000000,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_sending,1767699572,0.203088,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_waiting,1767699572,4.506072,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_receiving,1767699572,0.175634,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_failed,1767699572,0.000000,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
checks,1767699572,1.000000,Login successful,,,,,,,,default,,,,,,,
checks,1767699572,1.000000,Response contains welcome,,,,,,,,default,,,,,,,
data_sent,1767699572,188.000000,,,,,,,,,default,,,,,,,
data_received,1767699572,408.000000,,,,,,,,,default,,,,,,,
iteration_duration,1767699572,9.906515,,,,,,,,,default,,,,,,,
iterations,1767699572,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1767699572,1.000000,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_duration,1767699572,6.807579,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_blocked,1767699572,0.016863,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_connecting,1767699572,0.000000,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_tls_handshaking,1767699572,0.000000,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_sending,1767699572,0.142079,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_waiting,1767699572,6.369206,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_receiving,1767699572,0.296294,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_failed,1767699572,0.000000,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
checks,1767699572,1.000000,Login successful,,,,,,,,default,,,,,,,
checks,1767699572,1.000000,Response contains welcome,,,,,,,,default,,,,,,,
data_sent,1767699572,188.000000,,,,,,,,,default,,,,,,,
data_received,1767699572,408.000000,,,,,,,,,default,,,,,,,
iteration_duration,1767699572,7.241005,,,,,,,,,default,,,,,,,
iterations,1767699572,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1767699572,1.000000,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_duration,1767699572,4.409832,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
http_req_blocked,1767699572,0.015869,,,,true,,POST,http://host.docker.internal:5000/login,HTTP/1.1,default,,200,,,http://host.docker.internal:5000/login,,
